short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.1,,6.281339815431649,,,,,,,,,8.358865798089614,17.54976286184571
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.005,2.0,0.01,,18.178263785810408,,,,,,,,,17.131277704174643,14.565536838436664
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.01,2.0,0.01,,18.6708554823845,,,,,,,,,17.22845419841503,15.51021586606361
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.04,2.0,0.01,,22.19733982298181,,,,,,,,,21.23441690503416,15.15758501058859
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.04,0.5,0.01,,22.19733982298181,,,,,,,,,21.23441690503416,15.15758501058859
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.04,1.0,0.01,,22.19733982298181,,,,,,,,,21.23441690503416,15.15758501058859
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.04,4.0,0.01,,22.19733982298181,,,,,,,,,21.23441690503416,15.15758501058859
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.04,8.0,0.01,,22.19733982298181,,,,,,,,,21.23441690503416,15.15758501058859
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.05,0.2,0.04,2.0,0.01,,20.82768275426193,,,,,,,,,19.10067263390423,18.34047585681366
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.15,0.2,0.04,2.0,0.01,,20.714416389876263,,,,,,,,,18.787243620308903,15.83616513701411
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.2,0.04,2.0,0.01,,22.357136333333653,,,,,,,,,21.70924689874937,14.766214058130174
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.05,0.04,2.0,0.01,,22.3667353451618,,,,,,,,,21.59689518259526,15.095344221276804
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.480482422508658,,,,,,,,,21.73540843192176,15.042017755934241
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.4,0.04,2.0,0.01,,22.358777362075827,,,,,,,,,21.72045628984366,14.805947049908129
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.8,0.04,2.0,0.01,,22.358777362075827,,,,,,,,,21.72045628984366,14.805947049908129
2.0,15.0,3.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,-2.0306953040259845,,,,,,,,,-4.595729447223525,11.6839552810205
2.0,15.0,4.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,9.803295904427504,,,,,,,,,10.794866476600644,5.137473083083114
2.0,15.0,5.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,14.14669234857529,,,,,,,,,17.273811169322023,8.916000249929233
2.0,15.0,6.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,18.695066905271897,,,,,,,,,19.96423060841339,14.818875898585047
3.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.492618152642283,,,,,,,,,21.737445498201907,14.221448465212204
4.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.689154828394656,,,,,,,,,21.94853210242297,13.956880382736271
5.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.513666595153353,,,,,,,,,22.2953666335264,13.8949965360406
