short_term,long_term,price_range,amp_window,increase_holding,decrease_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,CV r2
6.0,35.0,10.0,25.0,4000.0,4000.0,5.0,3.0,0.04,,-3.952434211614089,-5.250031024727647,,,,,,,,-3.1830856723138075
2.0,50.0,3.0,25.0,250.0,250.0,15.0,3.0,0.005,,-3.5730473485482372,-3.937214321806326,,,,,,,,-4.291348517529167
10.0,35.0,10.0,25.0,250.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,35.0,3.0,25.0,4000.0,250.0,5.0,3.0,0.04,,-6.234293446874812,-6.283847251209981,,,,,,,,-4.7947776731701905
10.0,50.0,7.0,25.0,4000.0,4000.0,15.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-0.02260941457283496
6.0,35.0,7.0,150.0,250.0,4000.0,5.0,0.5,0.04,,-0.2498122094348335,-0.7750405005324774,,,,,,,,-1.1403811703758515
2.0,15.0,10.0,25.0,4000.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,10.0,150.0,4000.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
2.0,50.0,3.0,150.0,250.0,4000.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
10.0,15.0,7.0,25.0,250.0,4000.0,15.0,0.5,0.005,,-0.24638360817577634,-0.16946610423075564,,,,,,,,-0.1754414460030406
6.0,50.0,7.0,150.0,250.0,250.0,5.0,3.0,0.04,,-0.2498122094348335,-0.7750405005324774,,,,,,,,-1.1850116513301034
6.0,35.0,7.0,25.0,4000.0,4000.0,15.0,3.0,0.04,,-1.184798226912438,-2.7556252846091764,,,,,,,,-2.94467584255424
6.0,50.0,7.0,25.0,4000.0,4000.0,5.0,3.0,0.04,,-0.049662366852440076,-3.260181273603975,,,,,,,,-2.664520503607137
2.0,50.0,10.0,25.0,250.0,250.0,15.0,0.5,0.04,,-1.067950046460083,-0.8453382389427093,,,,,,,,-2.3101155308734915
10.0,50.0,3.0,25.0,4000.0,4000.0,15.0,0.5,0.005,,-8.39697533328865,-12.273592296092911,,,,,,,,-6.124693525832777
2.0,15.0,3.0,25.0,4000.0,4000.0,5.0,0.5,0.005,,-9.466790817105432,-8.216186753385028,,,,,,,,-6.469606732276764
2.0,15.0,10.0,150.0,4000.0,4000.0,5.0,0.5,0.04,,-2.845731474976127,-6.621913702446172,,,,,,,,-5.197227869555208
10.0,50.0,7.0,150.0,250.0,250.0,15.0,0.5,0.005,,-0.24638360817577634,-0.16946610423075564,,,,,,,,-0.3805542482286832
2.0,50.0,7.0,25.0,4000.0,250.0,15.0,3.0,0.04,,-8.538977388790393,-1.5502319821738704,,,,,,,,-4.249220749204554
2.0,15.0,3.0,150.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
