short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
4.0,30.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.74314128581376,,,,,,,,,23.778294114769132,14.15409510319299
4.0,25.0,7.0,75.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.94585020963568,,,,,,,,,22.634086913406804,13.656406482828922
4.0,25.0,7.0,150.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,16.762951276591025,,,,,,,,,16.342410595339096,11.371091812089862
4.0,25.0,7.0,200.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,13.350960318753991,,,,,,,,,11.708418292448757,6.8152713427163345
4.0,25.0,7.0,75.0,500.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,27.00755080260297,,,,,,,,,28.071938684997644,6.199139625208691
4.0,25.0,7.0,75.0,1000.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,19.032011009114516,,,,,,,,,20.737392444270252,-9.372812652086655
4.0,25.0,7.0,75.0,2000.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,1.198077670643173,,,,,,,,,2.185674842095999,-27.948722855445766
4.0,25.0,7.0,75.0,4000.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,-14.00407927715224,,,,,,,,,-16.016247554017703,-42.99876651901464
4.0,25.0,7.0,75.0,500.0,7.5,0.5,0.35,0.1,0.04,2.0,0.01,,28.170463350640375,,,,,,,,,29.00909265976044,10.687617356795766
4.0,25.0,7.0,75.0,500.0,12.5,0.5,0.35,0.1,0.04,2.0,0.01,,24.599463038591455,,,,,,,,,24.764388656369864,6.330107487174509
4.0,25.0,7.0,75.0,500.0,15.0,0.5,0.35,0.1,0.04,2.0,0.01,,23.82636425624409,,,,,,,,,24.223841451773136,4.938716228757883
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.01,,28.188188664659947,,,,,,,,,29.043925825079565,10.687617356795766
4.0,25.0,7.0,75.0,500.0,7.5,1.5,0.35,0.1,0.04,2.0,0.01,,27.80971358437762,,,,,,,,,29.138968677834676,10.003114360663535
4.0,25.0,7.0,75.0,500.0,7.5,2.0,0.35,0.1,0.04,2.0,0.01,,27.156354297936765,,,,,,,,,29.285096174831757,10.063614117097348
4.0,25.0,7.0,75.0,500.0,7.5,2.5,0.35,0.1,0.04,2.0,0.01,,24.66694482164692,,,,,,,,,26.480263901495277,8.387872019426776
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.005,,13.623282984285566,,,,,,,,,10.481087404243697,12.105683570875444
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.025,,2.658624977063932,,,,,,,,,-5.17420705172848,21.931123082811894
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.05,,1.2256857671861519,,,,,,,,,3.6179669703635966,7.968484270149666
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.1,,-6.1071077449576565,,,,,,,,,-5.636679299749179,5.221149749892138
